series_name,base_number,base_name,type,start_timestamp,series_value
T1,B00013,LOVE CORP CAR INC,trips,01-01-2015,26
T1,B00013,LOVE CORP CAR INC,trips,02-01-2015,79
T1,B00013,LOVE CORP CAR INC,trips,03-01-2015,62
T1,B00013,LOVE CORP CAR INC,trips,04-01-2015,76
T1,B00013,LOVE CORP CAR INC,trips,05-01-2015,292
T1,B00013,LOVE CORP CAR INC,trips,06-01-2015,414
T1,B00013,LOVE CORP CAR INC,trips,07-01-2015,412
T1,B00013,LOVE CORP CAR INC,trips,08-01-2015,484
T1,B00013,LOVE CORP CAR INC,trips,09-01-2015,326
T1,B00013,LOVE CORP CAR INC,trips,10-01-2015,117
T1,B00013,LOVE CORP CAR INC,trips,11-01-2015,144
T1,B00013,LOVE CORP CAR INC,trips,12-01-2015,378
T1,B00013,LOVE CORP CAR INC,trips,13-01-2015,448
T1,B00013,LOVE CORP CAR INC,trips,14-01-2015,501
T1,B00013,LOVE CORP CAR INC,trips,15-01-2015,495
T1,B00013,LOVE CORP CAR INC,trips,16-01-2015,349
T1,B00013,LOVE CORP CAR INC,trips,17-01-2015,120
T1,B00013,LOVE CORP CAR INC,trips,18-01-2015,59
T1,B00013,LOVE CORP CAR INC,trips,19-01-2015,106
T1,B00013,LOVE CORP CAR INC,trips,20-01-2015,395
T1,B00013,LOVE CORP CAR INC,trips,21-01-2015,453
T1,B00013,LOVE CORP CAR INC,trips,22-01-2015,441
T1,B00013,LOVE CORP CAR INC,trips,23-01-2015,292
T1,B00013,LOVE CORP CAR INC,trips,24-01-2015,99
T1,B00013,LOVE CORP CAR INC,trips,25-01-2015,124
T1,B00013,LOVE CORP CAR INC,trips,26-01-2015,163
T1,B00013,LOVE CORP CAR INC,trips,27-01-2015,50
T1,B00013,LOVE CORP CAR INC,trips,28-01-2015,438
T1,B00013,LOVE CORP CAR INC,trips,29-01-2015,451
T1,B00013,LOVE CORP CAR INC,trips,30-01-2015,338
T1,B00013,LOVE CORP CAR INC,trips,31-01-2015,117
T1,B00013,LOVE CORP CAR INC,trips,01-02-2015,160
T1,B00013,LOVE CORP CAR INC,trips,02-02-2015,349
T1,B00013,LOVE CORP CAR INC,trips,03-02-2015,543
T1,B00013,LOVE CORP CAR INC,trips,04-02-2015,564
T1,B00013,LOVE CORP CAR INC,trips,05-02-2015,528
T1,B00013,LOVE CORP CAR INC,trips,06-02-2015,512
T1,B00013,LOVE CORP CAR INC,trips,07-02-2015,145
T1,B00013,LOVE CORP CAR INC,trips,08-02-2015,160
T1,B00013,LOVE CORP CAR INC,trips,09-02-2015,339
T1,B00013,LOVE CORP CAR INC,trips,10-02-2015,435
T1,B00013,LOVE CORP CAR INC,trips,11-02-2015,462
T1,B00013,LOVE CORP CAR INC,trips,12-02-2015,435
T1,B00013,LOVE CORP CAR INC,trips,13-02-2015,337
T1,B00013,LOVE CORP CAR INC,trips,14-02-2015,69
T1,B00013,LOVE CORP CAR INC,trips,15-02-2015,77
T1,B00013,LOVE CORP CAR INC,trips,16-02-2015,121
T1,B00013,LOVE CORP CAR INC,trips,17-02-2015,375
T1,B00013,LOVE CORP CAR INC,trips,18-02-2015,463
T1,B00013,LOVE CORP CAR INC,trips,19-02-2015,466
T1,B00013,LOVE CORP CAR INC,trips,20-02-2015,351
T1,B00013,LOVE CORP CAR INC,trips,21-02-2015,105
T1,B00013,LOVE CORP CAR INC,trips,22-02-2015,123
T1,B00013,LOVE CORP CAR INC,trips,23-02-2015,410
T1,B00013,LOVE CORP CAR INC,trips,24-02-2015,476
T1,B00013,LOVE CORP CAR INC,trips,25-02-2015,459
T1,B00013,LOVE CORP CAR INC,trips,26-02-2015,501
T1,B00013,LOVE CORP CAR INC,trips,27-02-2015,357
T1,B00013,LOVE CORP CAR INC,trips,28-02-2015,125
T1,B00013,LOVE CORP CAR INC,trips,01-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,02-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,03-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,04-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,05-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,06-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,07-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,08-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,09-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,10-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,11-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,12-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,13-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,14-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,15-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,16-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,17-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,18-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,19-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,20-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,21-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,22-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,23-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,24-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,25-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,26-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,27-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,28-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,29-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,30-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,31-03-2015,125
T1,B00013,LOVE CORP CAR INC,trips,01-04-2015,448
T1,B00013,LOVE CORP CAR INC,trips,02-04-2015,399
T1,B00013,LOVE CORP CAR INC,trips,03-04-2015,119
T1,B00013,LOVE CORP CAR INC,trips,04-04-2015,47
T1,B00013,LOVE CORP CAR INC,trips,05-04-2015,51
T1,B00013,LOVE CORP CAR INC,trips,06-04-2015,296
T1,B00013,LOVE CORP CAR INC,trips,07-04-2015,399
T1,B00013,LOVE CORP CAR INC,trips,08-04-2015,442
T1,B00013,LOVE CORP CAR INC,trips,09-04-2015,403
T1,B00013,LOVE CORP CAR INC,trips,10-04-2015,259
T1,B00013,LOVE CORP CAR INC,trips,11-04-2015,88
T1,B00013,LOVE CORP CAR INC,trips,12-04-2015,125
T1,B00013,LOVE CORP CAR INC,trips,13-04-2015,354
T1,B00013,LOVE CORP CAR INC,trips,14-04-2015,425
T1,B00013,LOVE CORP CAR INC,trips,15-04-2015,442
T1,B00013,LOVE CORP CAR INC,trips,16-04-2015,430
T1,B00013,LOVE CORP CAR INC,trips,17-04-2015,269
T1,B00013,LOVE CORP CAR INC,trips,18-04-2015,91
T1,B00013,LOVE CORP CAR INC,trips,19-04-2015,124
T1,B00013,LOVE CORP CAR INC,trips,20-04-2015,343
T1,B00013,LOVE CORP CAR INC,trips,21-04-2015,443
T1,B00013,LOVE CORP CAR INC,trips,22-04-2015,461
T1,B00013,LOVE CORP CAR INC,trips,23-04-2015,422
T1,B00013,LOVE CORP CAR INC,trips,24-04-2015,295
T1,B00013,LOVE CORP CAR INC,trips,25-04-2015,117
T1,B00013,LOVE CORP CAR INC,trips,26-04-2015,119
T1,B00013,LOVE CORP CAR INC,trips,27-04-2015,321
T1,B00013,LOVE CORP CAR INC,trips,28-04-2015,407
T1,B00013,LOVE CORP CAR INC,trips,29-04-2015,427
T1,B00013,LOVE CORP CAR INC,trips,30-04-2015,415
T1,B00013,LOVE CORP CAR INC,trips,01-05-2015,315
T1,B00013,LOVE CORP CAR INC,trips,02-05-2015,89
T1,B00013,LOVE CORP CAR INC,trips,03-05-2015,102
T1,B00013,LOVE CORP CAR INC,trips,04-05-2015,318
T1,B00013,LOVE CORP CAR INC,trips,05-05-2015,394
T1,B00013,LOVE CORP CAR INC,trips,06-05-2015,458
T1,B00013,LOVE CORP CAR INC,trips,07-05-2015,426
T1,B00013,LOVE CORP CAR INC,trips,08-05-2015,307
T1,B00013,LOVE CORP CAR INC,trips,09-05-2015,104
T1,B00013,LOVE CORP CAR INC,trips,10-05-2015,124
T1,B00013,LOVE CORP CAR INC,trips,11-05-2015,351
T1,B00013,LOVE CORP CAR INC,trips,12-05-2015,434
T1,B00013,LOVE CORP CAR INC,trips,13-05-2015,442
T1,B00013,LOVE CORP CAR INC,trips,14-05-2015,442
T1,B00013,LOVE CORP CAR INC,trips,15-05-2015,339
T1,B00013,LOVE CORP CAR INC,trips,16-05-2015,95
T1,B00013,LOVE CORP CAR INC,trips,17-05-2015,142
T1,B00013,LOVE CORP CAR INC,trips,18-05-2015,371
T1,B00013,LOVE CORP CAR INC,trips,19-05-2015,402
T1,B00013,LOVE CORP CAR INC,trips,20-05-2015,414
T1,B00013,LOVE CORP CAR INC,trips,21-05-2015,407
T1,B00013,LOVE CORP CAR INC,trips,22-05-2015,238
T1,B00013,LOVE CORP CAR INC,trips,23-05-2015,53
T1,B00013,LOVE CORP CAR INC,trips,24-05-2015,78
T1,B00013,LOVE CORP CAR INC,trips,25-05-2015,57
T1,B00013,LOVE CORP CAR INC,trips,26-05-2015,281
T1,B00013,LOVE CORP CAR INC,trips,27-05-2015,389
T1,B00013,LOVE CORP CAR INC,trips,28-05-2015,461
T1,B00013,LOVE CORP CAR INC,trips,29-05-2015,246
T1,B00013,LOVE CORP CAR INC,trips,30-05-2015,81
T1,B00013,LOVE CORP CAR INC,trips,31-05-2015,104
T1,B00013,LOVE CORP CAR INC,trips,01-06-2015,432
T1,B00013,LOVE CORP CAR INC,trips,02-06-2015,476
T1,B00013,LOVE CORP CAR INC,trips,03-06-2015,404
T1,B00013,LOVE CORP CAR INC,trips,04-06-2015,428
T1,B00013,LOVE CORP CAR INC,trips,05-06-2015,245
T1,B00013,LOVE CORP CAR INC,trips,06-06-2015,88
T1,B00013,LOVE CORP CAR INC,trips,07-06-2015,117
T1,B00013,LOVE CORP CAR INC,trips,08-06-2015,405
T1,B00013,LOVE CORP CAR INC,trips,09-06-2015,429
T1,B00013,LOVE CORP CAR INC,trips,10-06-2015,450
T1,B00013,LOVE CORP CAR INC,trips,11-06-2015,476
T1,B00013,LOVE CORP CAR INC,trips,12-06-2015,304
T1,B00013,LOVE CORP CAR INC,trips,13-06-2015,106
